deal_id,competitor,deal_name,deal_type,target_or_partner,category,date_announced,estimated_value,strategic_rationale,overlap_with_ripple,implication_for_ripple
C-01,JPMorgan Kinexys,Kinexys Network Expansion,Partnership,12 Regional APAC Banks,Payments Infrastructure,2026-01,"N/A","Opened Kinexys to non-JPM banks for first time; targeting APAC real-time settlement",High — direct competition in APAC cross-border payments,"Validates APAC corridor demand. Ripple's ODL corridors must match or exceed speed/coverage."
C-02,Circle,Dubai DFSA Application,Regulatory,Dubai DFSA,Digital Assets / Stablecoins,2025-12,"N/A","Pursuing DFSA license to compete in Ripple's strategic Middle East market",High — RLUSD vs USDC competition in ME,"Circle directly competing in our target ME market. DFSA license race matters for institutional credibility."
C-03,Circle,Hashnote Acquisition,Acquisition,Hashnote (Tokenized Assets),Digital Assets / Stablecoins,2025-11,"$85M (est.)","Adds tokenized money market fund capabilities to Circle's USDC ecosystem",Medium — adjacent to RLUSD institutional use case,"Strengthens USDC's institutional value prop with yield-bearing products. RLUSD needs competitive yield story."
C-04,SWIFT,Chainlink Cross-Chain Pilot,Partnership,Chainlink Labs,Payments Infrastructure,2025-09,"N/A","Piloting cross-chain interoperability across 11,500 institutions. Framed as 'blockchain without crypto.'",High — alternative bridge between TradFi and DeFi without XRP,"Validates blockchain interop but positions it as infrastructure layer, not settlement. Narrative threat more than revenue threat near-term."
C-05,Visa,Visa B2B Connect — Stablecoin Settlement,Product Launch,Internal,Payments Infrastructure,2026-02,"N/A","Added stablecoin settlement option to Visa B2B Connect network. Supports USDC initially.",High — stablecoin-settled B2B payments is Ripple's core thesis,"Visa validating our thesis but using USDC. Must accelerate RLUSD integrations with payment networks."
C-06,Stellar (SDF),MoneyGram Partnership Expansion,Partnership,MoneyGram,Payments Infrastructure,2025-10,"N/A","Expanded USDC corridors through MoneyGram to 15 new markets in Africa and SE Asia",Medium — competing for same remittance corridors,"Stellar gaining ground in emerging market corridors. Ripple's LATAM focus is differentiated but should monitor Africa."
C-07,FIS,Treasury Management Acquisition,Acquisition,Treasury Spring (UK),Treasury & Cash Management,2026-01,"$120M (est.)","FIS acquiring UK-based treasury liquidity platform; extends FIS treasury suite",High — direct competition with GTreasury in enterprise treasury,"Validates GTreasury acquisition thesis. FIS is now a direct treasury competitor. Integration speed matters."
C-08,Finastra,Compliance Platform Investment,Investment,ComplyAdvantage,Compliance & RegTech,2025-08,"$50M (Series D lead)","Finastra investing in compliance automation for their banking platform customers",Medium — adjacent to our compliance needs,"Validates compliance automation category. Our Compliance.ai pipeline deal (D-006) is well-timed."
C-09,Coinbase,Prime Brokerage Expansion,Product Launch,Coinbase Prime,Crypto Infrastructure,2026-01,"N/A","Expanded Coinbase Prime with cross-margining and institutional lending. Competing directly with Hidden Road.",High — direct competition in institutional prime brokerage,"Hidden Road integration speed is critical. Coinbase has brand and distribution; we have cross-asset margining edge."
C-10,JPMorgan,Ondo Finance Partnership,Partnership,Ondo Finance,Digital Assets / Stablecoins,2026-02,"N/A","JPMorgan exploring tokenized Treasury distribution through Ondo. Testing institutional DeFi rails.",Medium — tokenized assets compete for same institutional allocations,"Institutional DeFi narrative growing. Ripple should consider tokenized asset strategy beyond RLUSD."
C-11,Mastercard,RLUSD + USDC Card Settlement Pilot,Partnership,Ripple + Circle,Digital Assets / Stablecoins,2025-11,"N/A","Mastercard hedging between RLUSD and USDC for card settlement pilots. Testing both.",Directly involves Ripple — competitive validation,"Positive signal that Mastercard is testing RLUSD. Must win this pilot to establish network preference."
C-12,Deutsche Bank,Crypto Custody Launch,Product Launch,Internal (Taurus partnership),Crypto Infrastructure,2025-12,"N/A","Deutsche Bank launched institutional crypto custody via Taurus. Targeting European institutional market.",Medium — competing for European institutional custody,"European custody market getting crowded. Ripple Custody + FCA/CSSF licenses are differentiators."
