metric,category,forecast,actual,variance_pct,context
Total Revenue,Headline,"34,800,000","34,770,000",-0.1%,"Essentially on plan"
Total Expenses,Headline,"29,100,000","30,280,000",4.1%,"Engineering and cloud costs running above plan"
EBITDA,Headline,"5,700,000","4,490,000",-21.2%,"Integration cost overruns compressing margin"
Cash Position,Headline,"3,854,500,000","3,853,340,000",-0.03%,"Healthy; minimal variance"
Ripple Payments Revenue,Revenue,"15,700,000","15,270,000",-2.7%,"APAC transaction volume dipped (Japan holiday); SaaS strong"
Ripple Custody Revenue,Revenue,"3,900,000","3,900,000",0.0%,"On plan; AUM fees soft but SaaS offset"
RLUSD Revenue,Revenue,"2,400,000","2,600,000",8.3%,"Mastercard pilot volume accelerating; positive momentum"
Ripple Prime Revenue,Revenue,"9,000,000","9,100,000",1.1%,"Trading volume strong; prime brokerage client onboarding delayed"
Ripple Treasury Revenue,Revenue,"3,200,000","3,300,000",3.1%,"Implementation services revenue upside"
CBDC Revenue,Revenue,"600,000","600,000",0.0%,"Steady state"
Engineering & Product,Expense,"9,800,000","10,450,000",6.6%,"Contractor surge for Hidden Road integration sprint"
Sales & Marketing,Expense,"4,200,000","4,100,000",-2.4%,"Under budget; timing of campaign spend"
G&A,Expense,"3,500,000","3,480,000",-0.6%,"In line"
Legal & Compliance,Expense,"2,800,000","2,650,000",-5.4%,"Post-SEC wind-down continuing to yield savings"
Cloud & Infrastructure,Expense,"2,200,000","2,750,000",25.0%,"GTreasury cloud migration costs significantly above plan"
People & Facilities,Expense,"5,100,000","5,050,000",-1.0%,"In line"
M&A Integration,Expense,"1,500,000","1,800,000",20.0%,"Rail license transfer legal costs higher than budgeted"
Weekly Cash Inflows,Cash,"34,800,000","34,770,000",-0.1%,""
Weekly Cash Outflows,Cash,"30,300,000","31,430,000",3.7%,"Higher opex driving outflow increase"
Net Cash Change,Cash,"4,500,000","3,340,000",-25.8%,"Gap driven by integration and cloud costs"
New Clients Onboarded,Operational,4,5,25.0%,"Strong week for Payments and Custody"
Active ODL Corridors,Operational,18,18,0.0%,""
RLUSD Market Cap,Operational,"1,500,000,000","1,520,000,000",1.3%,"Steady growth"
Employee Headcount,Operational,925,928,0.3%,"3 engineering hires started"
Upcoming Next Week,Forward Look,,,,"SBI Holdings quarterly review; GTreasury board integration milestone; AMINA Bank go-live in UK"
Risk Watch,Forward Look,,,,"Cloud migration costs trending 25% above plan - need architecture review before next sprint"
Positive Signal,Forward Look,,,,"RLUSD ecosystem revenue up 3 consecutive weeks; Mastercard pilot showing strong velocity"
