item_id,channel,from_name,from_role,date_received,time_received,subject,what_they_need,urgency,response_status,suggested_owner,calendar_related
PI-001,Email,BG,CEO,2026-03-04,09:00,"AI rollout timeline","Wants confirmed timeline for Claude enterprise deployment + training schedule for all hands. Asked for update by EOD Wednesday.",High,Overdue,MK (with IT lead input),No
PI-002,Slack #exec-team,ML,President,2026-03-05,14:30,"Headcount update for board","Needs updated headcount by business line and location for Q1 board deck. Due Friday.",High,Due Today,HR Analytics (delegate to Jamie Chen),No
PI-003,Email,JB,CFO,2026-03-05,16:00,"People costs forecast Q2","Requesting updated Q2 people costs forecast including acquisition team integrations. Needs by next Tuesday.",Medium,This Week,Compensation Team (delegate to Priya Patel),No
PI-004,Slack DM,KH,SVP Marketing,2026-03-06,08:15,"AI training comms","Wants input on internal comms messaging for Claude rollout. Tone/positioning guidance. Wants to align before Slack announcement.",Medium,Due Today,MK,No
PI-005,Email,Hidden Road HR Lead,Integration Team,2026-03-03,11:00,"Benefits harmonization timeline","Hidden Road team asking when their benefits will transition to Ripple plans. Getting employee inquiries. Need to give them a date.",High,Overdue,Benefits Team (delegate to Alex Rivera),No
PI-006,Slack #people-leads,Regional People Leads,Direct Reports,2026-03-05,10:00,"Weekly people leads update doc","Weekly update doc needs review before Thursday exec sync. 4 of 6 regions have submitted. Need to follow up with APAC and MENA leads.",Medium,Due Today,MK (follow up with leads),Yes - Thursday exec sync
PI-007,Email,GTreasury CHRO,Integration Team,2026-03-04,13:30,"Org design proposal","Sent proposed org structure for integrated treasury team. Wants feedback and alignment call. Has been waiting 2 days.",Medium,Overdue,MK + OD lead,Yes - need to schedule call
PI-008,Slack DM,EVM,SVP Strategic Initiatives,2026-03-06,09:45,"AI session logistics","Asking about IT setup for March 10 exec AI training - are all laptops configured? Need confirmation.",High,Due Today,IT Team (delegate to SR),Yes - March 10 session
PI-009,Email,Recruiting Lead,Direct Report,2026-03-05,15:00,"Q2 hiring plan approval","Q2 hiring plan ready for review - 42 open reqs across engineering, sales, and operations. Needs approval before job posts go live Monday.",High,Due Today,MK,No
PI-010,Slack #people-team,D&I Program Manager,Team Member,2026-03-05,11:30,"ERG budget request","Employee Resource Groups requesting Q2 budget allocation ($85K total across 5 ERGs). Needs VP approval.",Low,This Week,Delegate to People Operations,No
PI-011,Email,External - Benefits Broker,Vendor,2026-03-04,10:00,"Annual benefits renewal proposal","Renewal proposal for 2027 benefits package. 8% premium increase proposed. Need to review and schedule negotiation call.",Medium,This Week,Benefits Team (delegate to Alex Rivera),No
PI-012,Slack DM,BG,CEO,2026-03-06,07:45,"Pulse survey results","Wants to see latest pulse survey results before all-hands next week. Especially engagement scores for acquired teams.",High,Due Today,MK (pull from People Analytics),Yes - All-hands next week
PI-013,Email,Workplace Team Lead,Direct Report,2026-03-05,14:00,"Miami office setup for exec session","Confirming Miami office setup for March 10 AI training. Need final headcount and A/V requirements by tomorrow.",Medium,Due Today,Delegate to Workplace Team,Yes - March 10 session
PI-014,Slack #it-team,IT Security Lead,Team Member,2026-03-05,16:30,"Claude MCP connector permissions","Security review of Claude MCP connectors (Gmail, Drive, Calendar, Slack) complete. 2 minor findings. Need VP sign-off to proceed with rollout.",Medium,Due Today,MK (review findings),No
PI-015,Email,Legal Team,CLO Office,2026-03-05,09:00,"Immigration case update","Several employees need visa renewal paperwork. Immigration counsel needs manager approval letters. Can your team process?",Medium,This Week,Immigration Specialist (delegate),No
