metric,current_value,prior_week,change,target,status,notes
Total Headcount,928,924,+4,925,On Track,"3 engineering + 2 regional hires; 1 departure"
Open Requisitions,42,38,+4,45,On Track,"Q2 hiring plan finalized"
Time to Fill (avg days),34,36,-2,30,Amber,"Improving but still above target"
Offer Acceptance Rate,88%,85%,+3%,90%,Amber,"Better than last week; comp adjustments helping"
Voluntary Turnover (annualized),9.2%,9.4%,-0.2%,<10%,Green,"Within target"
Acquired Team Retention,97%,97%,0%,>95%,Green,"Strong across all acquisitions"
Hidden Road Integration,95%,92%,+3%,100%,On Track,"Systems transition nearly complete"
GTreasury Integration,78%,74%,+4%,100%,On Track,"Engineering team integration in progress"
Rail Integration,85%,82%,+3%,100%,On Track,"License transfers ongoing"
Palisade Integration,70%,65%,+5%,100%,On Track,"Ahead of original timeline"
Employee Engagement (Pulse),78%,N/A,N/A,80%,Amber,"Quarterly pulse - up from 74%"
Acquired Team Engagement,71%,N/A,N/A,75%,Amber,"Up from 65% - improving but gap remains"
Claude Rollout - Exec,100%,80%,+20%,100%,Green,"All exec laptops configured"
Claude Rollout - Company,22%,0%,+22%,100%,In Progress,"200 licenses deployed; full rollout by March 13"
Security Incidents,0,0,0,0,Green,"Clean week"
Office Utilization - SF,62%,68%,-6%,70%,Amber,"Seasonal dip or trend? Monitoring"
Office Utilization - London,94%,91%,+3%,85%,Over Capacity,"Need expansion plan"
IT Support Tickets,142,156,-14,<150,Green,"Improving"
